3,6,1
5,96,1
3,1,2
3,33,3
5,42,4
2,51,5
5,39,6
4,72,6
4,43,7
4,60,8
4,70,9
5,36,10
4,4,11
4,52,11
1,15,12
3,61,12
3,39,13
4,44,14
4,52,14
3,35,15
4,55,16
2,86,16
5,35,17
3,15,18
5,43,18
3,86,18
3,30,19
1,67,19
5,83,20
4,96,20
5,69,21
3,41,22
4,86,22
4,39,23
3,51,23
4,72,23
2,83,24
5,14,25
1,62,26
5,39,27
5,73,27
5,95,27
2,20,28
5,49,29
5,4,30
1,11,31
5,42,32
4,85,32
5,48,33
4,9,34
5,49,35
2,85,36
3,100,36
1,4,37
4,9,37
2,36,38
4,48,39
2,43,40
4,100,40
3,10,41
3,77,42
5,80,43
5,42,44
1,1,45
3,15,46
4,33,47
3,90,47
4,9,48
5,41,49
4,45,50
4,15,51
3,73,51
5,45,52
2,58,52
4,81,53
4,24,54
4,4,55
4,97,56
2,44,57
4,83,58
5,44,59
4,63,60
2,73,61
3,100,61
3,62,62
5,14,63
4,69,64
5,95,65
5,15,66
1,51,66
3,41,67
5,68,67
5,81,67
4,83,67
5,96,67
2,15,68
5,79,69
3,39,70
4,14,71
4,51,71
5,73,72
5,88,72
4,41,73
2,36,74
4,15,75
4,88,75
3,95,75
5,31,76
4,49,76
3,58,76
3,85,76
3,65,77
5,96,78
3,20,79
5,8,80
2,81,81
3,41,82
4,100,82
3,6,83
2,6,84
4,26,84
3,96,84
5,41,85
4,20,86
2,9,87
3,80,87
3,86,88
5,50,89
5,74,89
5,50,90
4,15,91
3,15,92
4,100,92
4,35,93
4,83,94
4,42,95
5,77,96
3,86,97
5,69,98
5,39,99
5,33,100
5,58,100
4,42,101
3,51,102
5,100,102
3,33,103
4,83,104
4,80,105
4,96,105
3,15,106
4,18,106
4,22,106
5,80,107
2,3,108
4,100,108
4,52,109
5,12,110
1,15,111
3,49,112
5,35,113
4,45,113
3,51,113
4,73,113
4,100,113
5,19,114
5,72,114
4,100,115
5,89,116
3,80,117
4,77,118
5,72,119
3,52,120
4,41,121
3,6,122
3,4,123
4,27,123
3,83,123
4,63,124
3,51,125
3,67,125
3,61,126
3,43,127
5,31,128
4,42,129
3,82,129
5,94,130
4,11,131
5,28,131
3,51,132
5,72,132
1,51,133
4,61,133
1,1,134
3,48,135
4,44,136
5,61,136
5,19,137
5,72,137
3,86,137
